id,negative,key_entity
13002,1,米袋计划
13006,1,种钱网;国恒金服;五星财富;富轩投资;信业国际投资
13009,1,利民网;深圳民富集团有限公司
13011,0,
13015,1,万和集团;团贷网;派生科技
13017,0,
13018,1,钱多多;掌悦理财;量子金融
13019,1,快点理财
13020,1,甜菜金融;天风证券
13022,1,团贷网
13023,1,唐小僧
13024,1,e速贷
13025,1,银豆网;金银猫;爱投资;利民网
13026,1,互利网
13029,1,宜贷网;宜湃网
13031,1,一点金库
13032,1,牛板金
13033,0,
13036,1,云联惠
13037,0,
13039,1,有融网
13040,0,
13043,1,e租宝
13048,1,中大财富
13049,1,上海宜贷网;软银中国
13051,0,
13052,1,e租宝
13056,1,蓝天格锐;唐小僧;萝卜智投(启蓝);佰亿猫;利民网;钱内助;金坳财富;惠盈理财;长富理财;人人爱家;未了财富;投融家;博安杰;米袋计划;买金呗;抢钱通;元泰金服;翡翠岛;火理财;金银猫;壹盐双创;昆明泛亚有色案件;多多理财;普资金服;小微金融;钱爸爸;腾信堂;掌悦理财;聚财猫;幺鸡理财;e租宝;旺财猫;钱贷网;小金库;投之家;祺天优贷;银票网;钱途在线;小诸葛金服;抓钱猫;车能贷;叮叮理财;永利宝;天天财富;夸客优富;啄米理财;国金宝;联璧金融;大仓谷;好友邦众筹;零钱罐;萌小薪;华融道;合时代;十六铺金融;理财咖;壹理财;米袋理财;五星财富;金融圈
13060,1,冠群驰骋;好易借;信和财富
13061,0,
13062,1,团贷网;众财富
13067,1,微易贷
13068,1,短融网
13070,0,
13077,1,浙商银行;投融家;希望金融
13080,1,点融
13082,1,信和财富;金信网
13083,1,????小资钱包
13084,1,投之家;牛板金
13085,1,荷包金融
13088,1,e租宝
13094,1,你我贷;百度有钱花;人人贷;捷信;功夫贷;信而富;玖富万卡;平安;宜信;宜人贷
13095,1,mbi
13096,1,天津源丰财富生活网络信息服务有限公司;宝蓝财富;e周行;八条鱼;智慧蜂巢众创;天津渤海创投集团
13097,1,e租宝
13100,0,
13101,1,有钱贷
13102,0,
13103,1,意隆财富;小诸葛
13107,1,中纳联投
13110,0,
13113,1,火理财;永利宝
13116,1,付融宝
13117,1,牛板金;我来贷
13121,1,火理财;永利宝
13125,1,善林（上海）金融信息服务有限公司;善林金融
13126,1,荷包金融
13127,1,拍拍贷;乐信
13131,0,
13132,1,易通贷
13133,0,
13134,1,乐投资
13135,1,草根投资
13137,1,拍拍贷;鸿金宝;钱哆拉;银承派;新纪元金服;融牛在线
13139,1,88财富网
13140,1,存金钱包
13141,1,云联惠
13142,1,盛达投资
13144,0,
13146,1,天安（贵州省）互联网金融资产交易中心股份有限公司;米缸金融;天安财险
13150,1,联璧金融;爱贷网;中青网投;蜂投网
13152,0,
13156,0,
13157,1,人人贷;拉卡拉
13159,1,e租宝
13160,1,汉金所
13161,1,团贷网;派生科技
13162,0,
13163,1,陆金所;中睿泰信;兴龙实业;东方金钰;大同证券;中海信托
13166,1,云联惠
13168,1,小牛在线
13169,1,e租宝
13170,0,
13172,1,火理财;修正药业;永利宝
13174,1,中融民信
13175,1,晋商贷;智融会
13176,0,
13178,1,多多理财;聚胜财富;投融家
13180,1,爱投资;团贷网;银湖网
13184,1,向前金服
13185,1,付融宝
13186,1,e租宝
13188,1,云联惠
13189,1,天合联盟
13190,0,
13191,0,
13193,1,小资钱包;团贷网
13195,1,荷包金融
13196,0,
13198,1,荷包金融
13202,1,鑫合汇;理想宝
13203,0,
13204,0,
13206,1,厚本金融
